group,artifact,version,declared license
ch.qos.logback.contrib,logback-jackson,0.1.5,unknown/not embedded
ch.qos.logback.contrib,logback-json-classic,0.1.5,unknown/not embedded
ch.qos.logback.contrib,logback-json-core,0.1.5,unknown/not embedded
ch.qos.logback,logback-classic,1.5.37,unknown/not embedded
ch.qos.logback,logback-core,1.5.37,unknown/not embedded
co.elastic.logging,ecs-logging-core,1.8.0,unknown/not embedded
co.elastic.logging,logback-ecs-encoder,1.8.0,unknown/not embedded
com.cronutils,cron-utils,9.2.1,Apache 2.0
com.devskiller.friendly-id,friendly-id,1.1.0,unknown/not embedded
com.ethlo.time,itu,1.14.0,"Apache License, Version 2.0"
com.fasterxml.jackson.core,jackson-annotations,2.22,"The Apache Software License, Version 2.0"
com.fasterxml.jackson.core,jackson-core,2.22.1,"The Apache Software License, Version 2.0"
com.fasterxml.jackson.core,jackson-databind,2.22.1,"The Apache Software License, Version 2.0"
com.fasterxml.jackson.dataformat,jackson-dataformat-ion,2.22.1,"The Apache Software License, Version 2.0"
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.22.1,unknown/not embedded
com.fasterxml.jackson.dataformat,jackson-dataformat-yaml,2.22.1,unknown/not embedded
com.fasterxml.jackson.datatype,jackson-datatype-guava,2.22.1,"The Apache Software License, Version 2.0"
com.fasterxml.jackson.datatype,jackson-datatype-jdk8,2.22.1,unknown/not embedded
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.22.1,unknown/not embedded
com.fasterxml.jackson.module,jackson-module-parameter-names,2.22.1,unknown/not embedded
com.fasterxml.uuid,java-uuid-generator,5.2.0,"The Apache Software License, Version 2.0"
com.fasterxml.woodstox,woodstox-core,7.2.0,"The Apache License, Version 2.0"
com.fasterxml,classmate,1.7.0,"Apache License, Version 2.0"
com.github.docker-java,docker-java-api,3.7.1,unknown/not embedded
com.github.docker-java,docker-java-core,3.7.1,unknown/not embedded
com.github.docker-java,docker-java-transport-httpclient5,3.7.1,unknown/not embedded
com.github.docker-java,docker-java-transport,3.7.1,unknown/not embedded
com.github.docker-java,docker-java,3.7.1,unknown/not embedded
com.github.javaparser,javaparser-core,3.27.0,"GNU Lesser General Public License; Apache License, Version 2.0"
com.github.javaparser,javaparser-symbol-solver-core,3.27.0,"GNU Lesser General Public License; Apache License, Version 2.0"
com.github.ksuid,ksuid,1.1.4,MIT
com.github.oshi,oshi-common,7.5.0,unknown/not embedded
com.github.oshi,oshi-core,7.5.0,unknown/not embedded
com.github.victools,jsonschema-generator,4.38.0,unknown/not embedded
