group,artifact,version,classification,license,source_pom,pom_chain,fetch_status
ch.qos.logback.contrib,logback-jackson,0.1.5,parent-pom,Eclipse Public License - v 1.0 <http://www.eclipse.org/legal/epl-v10.html>; GNU Lesser General Public License <http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html>,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,ok | ok
ch.qos.logback.contrib,logback-json-classic,0.1.5,parent-pom,Eclipse Public License - v 1.0 <http://www.eclipse.org/legal/epl-v10.html>; GNU Lesser General Public License <http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html>,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-parent/0.1.5/logback-json-parent-0.1.5.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,ok | ok | ok
ch.qos.logback.contrib,logback-json-core,0.1.5,parent-pom,Eclipse Public License - v 1.0 <http://www.eclipse.org/legal/epl-v10.html>; GNU Lesser General Public License <http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html>,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-core/0.1.5/logback-json-core-0.1.5.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-parent/0.1.5/logback-json-parent-0.1.5.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-contrib-parent/0.1.5/logback-contrib-parent-0.1.5.pom,ok | ok | ok
ch.qos.logback,logback-classic,1.5.37,parent-pom,EPL-2.0 <https://www.eclipse.org/legal/epl-v20.html>; LGPL-2.1-only <https://www.gnu.org/licenses/old-licenses/lgpl-2.1.html>,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-parent/1.5.37/logback-parent-1.5.37.pom,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.37/logback-classic-1.5.37.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/logback-parent/1.5.37/logback-parent-1.5.37.pom,ok | ok
ch.qos.logback,logback-core,1.5.37,parent-pom,EPL-2.0 <https://www.eclipse.org/legal/epl-v20.html>; LGPL-2.1-only <https://www.gnu.org/licenses/old-licenses/lgpl-2.1.html>,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-parent/1.5.37/logback-parent-1.5.37.pom,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-core/1.5.37/logback-core-1.5.37.pom | https://repo.maven.apache.org/maven2/ch/qos/logback/logback-parent/1.5.37/logback-parent-1.5.37.pom,ok | ok
co.elastic.logging,ecs-logging-core,1.8.0,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/co/elastic/logging/ecs-logging-java-parent/1.8.0/ecs-logging-java-parent-1.8.0.pom,https://repo.maven.apache.org/maven2/co/elastic/logging/ecs-logging-core/1.8.0/ecs-logging-core-1.8.0.pom | https://repo.maven.apache.org/maven2/co/elastic/logging/ecs-logging-java-parent/1.8.0/ecs-logging-java-parent-1.8.0.pom,ok | ok
co.elastic.logging,logback-ecs-encoder,1.8.0,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/co/elastic/logging/ecs-logging-java-parent/1.8.0/ecs-logging-java-parent-1.8.0.pom,https://repo.maven.apache.org/maven2/co/elastic/logging/logback-ecs-encoder/1.8.0/logback-ecs-encoder-1.8.0.pom | https://repo.maven.apache.org/maven2/co/elastic/logging/ecs-logging-java-parent/1.8.0/ecs-logging-java-parent-1.8.0.pom,ok | ok
com.devskiller.friendly-id,friendly-id,1.1.0,parent-pom,Apache 2 <http://www.apache.org/licenses/LICENSE-2.0.txt>,https://repo.maven.apache.org/maven2/com/devskiller/friendly-id/friendly-id-project/1.1.0/friendly-id-project-1.1.0.pom,https://repo.maven.apache.org/maven2/com/devskiller/friendly-id/friendly-id/1.1.0/friendly-id-1.1.0.pom | https://repo.maven.apache.org/maven2/com/devskiller/friendly-id/friendly-id-project/1.1.0/friendly-id-project-1.1.0.pom,ok | ok
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.22.1,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformat-xml/2.22.1/jackson-dataformat-xml-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-base/2.22.1/jackson-base-2.22.1.pom,ok | ok
com.fasterxml.jackson.dataformat,jackson-dataformat-yaml,2.22.1,parent-pom,"The Apache Software License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformats-text/2.22.1/jackson-dataformats-text-2.22.1.pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformat-yaml/2.22.1/jackson-dataformat-yaml-2.22.1.pom | https://repo.maven.apache.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformats-text/2.22.1/jackson-dataformats-text-2.22.1.pom,ok | ok
